state,district,crop,district_major_crop,district_major_crop_latest_area_1000ha,district_major_crop_area_change_pct,district_major_crop_yield_change_pct,district_major_crop_analysis,current_suitability,suitability_2030_ssp245,suitability_2035_ssp245,suitability_2040_ssp245,suitability_2030_ssp585,suitability_2035_ssp585,suitability_2040_ssp585,ssp245_decline_classes_by_2040,ssp585_decline_classes_by_2040,ssp245_2040_explanation,ssp585_2040_explanation,recommendation,crop_historical_analysis,soil_type,length_of_growing_period_days,first_area_1000ha,latest_area_1000ha,area_first_year,area_latest_year,area_change_pct,first_yield_kg_ha,latest_yield_kg_ha,yield_first_year,yield_latest_year,yield_change_pct,overall_risk_score_2030_ssp245,drought_hazard_score_2030_ssp245,flood_hazard_score_2030_ssp245,ag_stress_score_2030_ssp245,temperature_change_2030_ssp245,rainfall_change_2030_ssp245,water_availability_index_2030_ssp245,heat_stress_days_2030_ssp245,climate_confidence_score_2030_ssp245,overall_risk_class_2030_ssp245,flood_hazard_class_2030_ssp245,drought_hazard_class_2030_ssp245,ag_stress_class_2030_ssp245,overall_risk_score_2035_ssp245,drought_hazard_score_2035_ssp245,flood_hazard_score_2035_ssp245,ag_stress_score_2035_ssp245,temperature_change_2035_ssp245,rainfall_change_2035_ssp245,water_availability_index_2035_ssp245,heat_stress_days_2035_ssp245,climate_confidence_score_2035_ssp245,overall_risk_class_2035_ssp245,flood_hazard_class_2035_ssp245,drought_hazard_class_2035_ssp245,ag_stress_class_2035_ssp245,overall_risk_score_2040_ssp245,drought_hazard_score_2040_ssp245,flood_hazard_score_2040_ssp245,ag_stress_score_2040_ssp245,temperature_change_2040_ssp245,rainfall_change_2040_ssp245,water_availability_index_2040_ssp245,heat_stress_days_2040_ssp245,climate_confidence_score_2040_ssp245,overall_risk_class_2040_ssp245,flood_hazard_class_2040_ssp245,drought_hazard_class_2040_ssp245,ag_stress_class_2040_ssp245,overall_risk_score_2030_ssp585,drought_hazard_score_2030_ssp585,flood_hazard_score_2030_ssp585,ag_stress_score_2030_ssp585,temperature_change_2030_ssp585,rainfall_change_2030_ssp585,water_availability_index_2030_ssp585,heat_stress_days_2030_ssp585,climate_confidence_score_2030_ssp585,overall_risk_class_2030_ssp585,flood_hazard_class_2030_ssp585,drought_hazard_class_2030_ssp585,ag_stress_class_2030_ssp585,overall_risk_score_2035_ssp585,drought_hazard_score_2035_ssp585,flood_hazard_score_2035_ssp585,ag_stress_score_2035_ssp585,temperature_change_2035_ssp585,rainfall_change_2035_ssp585,water_availability_index_2035_ssp585,heat_stress_days_2035_ssp585,climate_confidence_score_2035_ssp585,overall_risk_class_2035_ssp585,flood_hazard_class_2035_ssp585,drought_hazard_class_2035_ssp585,ag_stress_class_2035_ssp585,overall_risk_score_2040_ssp585,drought_hazard_score_2040_ssp585,flood_hazard_score_2040_ssp585,ag_stress_score_2040_ssp585,temperature_change_2040_ssp585,rainfall_change_2040_ssp585,water_availability_index_2040_ssp585,heat_stress_days_2040_ssp585,climate_confidence_score_2040_ssp585,overall_risk_class_2040_ssp585,flood_hazard_class_2040_ssp585,drought_hazard_class_2040_ssp585,ag_stress_class_2040_ssp585
Bihar,Araria,Cotton,Maize,45.1,382.35,318.21,Maize is the major crop by latest ICRISAT area (45.10 thousand ha). Its area has increased by 382.4% and yield has increased by 318.2% from the first available positive ICRISAT year.,Marginal,Marginal,Marginal,Marginal,Marginal,Unsuitable,Unsuitable,0,1,"Cotton remains stable; projected stress is mainly warming of 1.02 C, soil-moisture deficit (0.00), but it is not enough to change the suitability class under this scoring rule.","Cotton declines by 1 suitability class(es) because the scenario shows high drought hazard (55.2), agricultural stress (89.5), warming of 1.72 C; this affects water demand, heat tolerance, and soil-moisture reliability.",High risk under SSP585,Cotton area has no historical trend available and yield has no historical trend available between the first and latest positive ICRISAT observations.,INCEPTISOLS - 100%,254.0,0.0,0.0,,,,0.0,0.0,,,,24.65,23.6,46.84,0.0,0.518,7.27,1.046,7.9,,Low Risk,Moderate,Low,Low,23.32,18.77,47.87,0.0,0.768,8.59,1.05,9.8,,Low Risk,Moderate,Low,Low,25.3,17.27,48.89,7.13,1.018,9.91,1.055,11.7,,Moderate Risk,Moderate,Low,Low,25.04,24.71,46.84,0.0,0.818,7.27,1.046,7.9,,Moderate Risk,Moderate,Low,Low,45.16,41.7,47.87,46.02,1.268,8.59,1.05,9.8,,Moderate Risk,Moderate,Moderate,Moderate,63.27,55.17,48.89,89.48,1.718,9.91,1.055,11.7,,High Risk,Moderate,High,Severe
Bihar,Araria,Maize,Maize,45.1,382.35,318.21,Maize is the major crop by latest ICRISAT area (45.10 thousand ha). Its area has increased by 382.4% and yield has increased by 318.2% from the first available positive ICRISAT year.,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderate,Unsuitable,0,4,"Maize remains stable; projected stress is mainly warming of 1.02 C, soil-moisture deficit (0.00), but it is not enough to change the suitability class under this scoring rule.","Maize declines by 4 suitability class(es) because the scenario shows high drought hazard (55.2), agricultural stress (89.5), warming of 1.72 C; this affects water demand, heat tolerance, and soil-moisture reliability.",Limit to irrigated or low-risk blocks,Maize area has increased by 382.4% and yield has increased by 318.2% between the first and latest positive ICRISAT observations.,INCEPTISOLS - 100%,254.0,9.35,45.1,1990.0,2019.0,382.35,1697.0,7097.0,1990.0,2019.0,318.21,24.65,23.6,46.84,0.0,0.518,7.27,1.046,7.9,,Low Risk,Moderate,Low,Low,23.32,18.77,47.87,0.0,0.768,8.59,1.05,9.8,,Low Risk,Moderate,Low,Low,25.3,17.27,48.89,7.13,1.018,9.91,1.055,11.7,,Moderate Risk,Moderate,Low,Low,25.04,24.71,46.84,0.0,0.818,7.27,1.046,7.9,,Moderate Risk,Moderate,Low,Low,45.16,41.7,47.87,46.02,1.268,8.59,1.05,9.8,,Moderate Risk,Moderate,Moderate,Moderate,63.27,55.17,48.89,89.48,1.718,9.91,1.055,11.7,,High Risk,Moderate,High,Severe
Bihar,Araria,Millets,Maize,45.1,382.35,318.21,Maize is the major crop by latest ICRISAT area (45.10 thousand ha). Its area has increased by 382.4% and yield has increased by 318.2% from the first available positive ICRISAT year.,Moderate,Suitable,Suitable,Suitable,Suitable,Marginal,Unsuitable,-1,2,"Millets improves by 1 suitability class(es); projected conditions show warming of 1.02 C, soil-moisture deficit (0.00), but the crop's local area/yield base and tolerance keep it comparatively resilient.","Millets declines by 2 suitability class(es) because the scenario shows high drought hazard (55.2), agricultural stress (89.5), warming of 1.72 C; this affects water demand, heat tolerance, and soil-moisture reliability.",Prefer hardy short-duration varieties,Millets area has declined by 80.0% and yield has declined by 16.7% between the first and latest positive ICRISAT observations.,INCEPTISOLS - 100%,254.0,0.1,0.02,1999.0,2006.0,-80.0,1200.0,1000.0,1999.0,2006.0,-16.67,24.65,23.6,46.84,0.0,0.518,7.27,1.046,7.9,,Low Risk,Moderate,Low,Low,23.32,18.77,47.87,0.0,0.768,8.59,1.05,9.8,,Low Risk,Moderate,Low,Low,25.3,17.27,48.89,7.13,1.018,9.91,1.055,11.7,,Moderate Risk,Moderate,Low,Low,25.04,24.71,46.84,0.0,0.818,7.27,1.046,7.9,,Moderate Risk,Moderate,Low,Low,45.16,41.7,47.87,46.02,1.268,8.59,1.05,9.8,,Moderate Risk,Moderate,Moderate,Moderate,63.27,55.17,48.89,89.48,1.718,9.91,1.055,11.7,,High Risk,Moderate,High,Severe
Bihar,Araria,Paddy,Maize,45.1,382.35,318.21,Maize is the major crop by latest ICRISAT area (45.10 thousand ha). Its area has increased by 382.4% and yield has increased by 318.2% from the first available positive ICRISAT year.,Moderate,Moderate,Moderate,Moderate,Moderate,Unsuitable,Unsuitable,0,2,"Paddy remains stable; projected stress is mainly warming of 1.02 C, soil-moisture deficit (0.00), but it is not enough to change the suitability class under this scoring rule.","Paddy declines by 2 suitability class(es) because the scenario shows high drought hazard (55.2), agricultural stress (89.5), warming of 1.72 C; this affects water demand, heat tolerance, and soil-moisture reliability.",Shift area to short-duration paddy or millets,Paddy area has declined by 74.9% and yield has increased by 130.8% between the first and latest positive ICRISAT observations.,INCEPTISOLS - 100%,254.0,140.74,35.37,1990.0,2019.0,-74.87,964.0,2225.0,1990.0,2019.0,130.81,24.65,23.6,46.84,0.0,0.518,7.27,1.046,7.9,,Low Risk,Moderate,Low,Low,23.32,18.77,47.87,0.0,0.768,8.59,1.05,9.8,,Low Risk,Moderate,Low,Low,25.3,17.27,48.89,7.13,1.018,9.91,1.055,11.7,,Moderate Risk,Moderate,Low,Low,25.04,24.71,46.84,0.0,0.818,7.27,1.046,7.9,,Moderate Risk,Moderate,Low,Low,45.16,41.7,47.87,46.02,1.268,8.59,1.05,9.8,,Moderate Risk,Moderate,Moderate,Moderate,63.27,55.17,48.89,89.48,1.718,9.91,1.055,11.7,,High Risk,Moderate,High,Severe
Bihar,Araria,Turmeric,Maize,45.1,382.35,318.21,Maize is the major crop by latest ICRISAT area (45.10 thousand ha). Its area has increased by 382.4% and yield has increased by 318.2% from the first available positive ICRISAT year.,Suitable,Suitable,Suitable,Suitable,Suitable,Marginal,Unsuitable,0,3,"Turmeric remains stable; projected stress is mainly warming of 1.02 C, soil-moisture deficit (0.00), but it is not enough to change the suitability class under this scoring rule.","Turmeric declines by 3 suitability class(es) because the scenario shows high drought hazard (55.2), agricultural stress (89.5), warming of 1.72 C; this affects water demand, heat tolerance, and soil-moisture reliability.",Avoid expansion under high heat stress,Turmeric area has increased by 3.8% and yield has no historical trend available between the first and latest positive ICRISAT observations.,INCEPTISOLS - 100%,254.0,4.43,4.6,1990.0,2019.0,3.84,0.0,0.0,,,,24.65,23.6,46.84,0.0,0.518,7.27,1.046,7.9,,Low Risk,Moderate,Low,Low,23.32,18.77,47.87,0.0,0.768,8.59,1.05,9.8,,Low Risk,Moderate,Low,Low,25.3,17.27,48.89,7.13,1.018,9.91,1.055,11.7,,Moderate Risk,Moderate,Low,Low,25.04,24.71,46.84,0.0,0.818,7.27,1.046,7.9,,Moderate Risk,Moderate,Low,Low,45.16,41.7,47.87,46.02,1.268,8.59,1.05,9.8,,Moderate Risk,Moderate,Moderate,Moderate,63.27,55.17,48.89,89.48,1.718,9.91,1.055,11.7,,High Risk,Moderate,High,Severe
Bihar,Arwal,Cotton,Paddy,17.07,-46.42,118.09,Paddy is the major crop by latest ICRISAT area (17.07 thousand ha). Its area has declined by 46.4% and yield has increased by 118.1% from the first available positive ICRISAT year.,Marginal,Marginal,Marginal,Marginal,Marginal,Unsuitable,Unsuitable,0,1,"Cotton remains stable; projected stress is mainly 33.3 heat-stress days, but it is not enough to change the suitability class under this scoring rule.","Cotton declines by 1 suitability class(es) because the scenario shows agricultural stress (79.4), 33.3 heat-stress days, soil-moisture deficit (0.01); this affects water demand, heat tolerance, and soil-moisture reliability.",High risk under SSP585,Cotton area has no historical trend available and yield has no historical trend available between the first and latest positive ICRISAT observations.,,0.0,0.0,0.0,,,,0.0,0.0,,,,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,9.52,2.61,24.59,0.0,,3.12,1.015,33.3,,Low Risk,Low,Low,Low,9.56,2.5,24.81,0.0,,4.38,1.019,33.3,,Low Risk,Low,Low,Low,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,32.12,25.43,24.59,48.72,,3.13,1.015,33.3,,Moderate Risk,Low,Moderate,Moderate,46.39,39.68,24.81,79.38,,4.38,1.019,33.3,,Moderate Risk,Low,Moderate,Severe
Bihar,Arwal,Maize,Paddy,17.07,-46.42,118.09,Paddy is the major crop by latest ICRISAT area (17.07 thousand ha). Its area has declined by 46.4% and yield has increased by 118.1% from the first available positive ICRISAT year.,Marginal,Marginal,Marginal,Marginal,Marginal,Unsuitable,Unsuitable,0,1,"Maize remains stable; projected stress is mainly 33.3 heat-stress days, but it is not enough to change the suitability class under this scoring rule.","Maize declines by 1 suitability class(es) because the scenario shows agricultural stress (79.4), 33.3 heat-stress days, soil-moisture deficit (0.01); this affects water demand, heat tolerance, and soil-moisture reliability.",Limit to irrigated or low-risk blocks,Maize area has declined by 78.8% and yield has increased by 66.1% between the first and latest positive ICRISAT observations.,,0.0,0.8,0.17,2004.0,2019.0,-78.75,1650.0,2741.0,2004.0,2019.0,66.12,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,9.52,2.61,24.59,0.0,,3.12,1.015,33.3,,Low Risk,Low,Low,Low,9.56,2.5,24.81,0.0,,4.38,1.019,33.3,,Low Risk,Low,Low,Low,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,32.12,25.43,24.59,48.72,,3.13,1.015,33.3,,Moderate Risk,Low,Moderate,Moderate,46.39,39.68,24.81,79.38,,4.38,1.019,33.3,,Moderate Risk,Low,Moderate,Severe
Bihar,Arwal,Millets,Paddy,17.07,-46.42,118.09,Paddy is the major crop by latest ICRISAT area (17.07 thousand ha). Its area has declined by 46.4% and yield has increased by 118.1% from the first available positive ICRISAT year.,Unsuitable,Marginal,Marginal,Marginal,Marginal,Unsuitable,Unsuitable,-1,0,"Millets improves by 1 suitability class(es); projected conditions show 33.3 heat-stress days, but the crop's local area/yield base and tolerance keep it comparatively resilient.","Millets remains stable; projected stress is mainly agricultural stress (79.4), 33.3 heat-stress days, soil-moisture deficit (0.01), but it is not enough to change the suitability class under this scoring rule.",Prefer hardy short-duration varieties,Millets area has no historical trend available and yield has no historical trend available between the first and latest positive ICRISAT observations.,,0.0,0.0,0.0,,,,0.0,0.0,,,,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,9.52,2.61,24.59,0.0,,3.12,1.015,33.3,,Low Risk,Low,Low,Low,9.56,2.5,24.81,0.0,,4.38,1.019,33.3,,Low Risk,Low,Low,Low,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,32.12,25.43,24.59,48.72,,3.13,1.015,33.3,,Moderate Risk,Low,Moderate,Moderate,46.39,39.68,24.81,79.38,,4.38,1.019,33.3,,Moderate Risk,Low,Moderate,Severe
Bihar,Arwal,Paddy,Paddy,17.07,-46.42,118.09,Paddy is the major crop by latest ICRISAT area (17.07 thousand ha). Its area has declined by 46.4% and yield has increased by 118.1% from the first available positive ICRISAT year.,Moderate,Moderate,Moderate,Moderate,Moderate,Marginal,Unsuitable,0,2,"Paddy remains stable; projected stress is mainly 33.3 heat-stress days, but it is not enough to change the suitability class under this scoring rule.","Paddy declines by 2 suitability class(es) because the scenario shows agricultural stress (79.4), 33.3 heat-stress days, soil-moisture deficit (0.01); this affects water demand, heat tolerance, and soil-moisture reliability.",Shift area to short-duration paddy or millets,Paddy area has declined by 46.4% and yield has increased by 118.1% between the first and latest positive ICRISAT observations.,,0.0,31.86,17.07,2003.0,2019.0,-46.42,1697.0,3701.0,2003.0,2019.0,118.09,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,9.52,2.61,24.59,0.0,,3.12,1.015,33.3,,Low Risk,Low,Low,Low,9.56,2.5,24.81,0.0,,4.38,1.019,33.3,,Low Risk,Low,Low,Low,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,32.12,25.43,24.59,48.72,,3.13,1.015,33.3,,Moderate Risk,Low,Moderate,Moderate,46.39,39.68,24.81,79.38,,4.38,1.019,33.3,,Moderate Risk,Low,Moderate,Severe
Bihar,Arwal,Turmeric,Paddy,17.07,-46.42,118.09,Paddy is the major crop by latest ICRISAT area (17.07 thousand ha). Its area has declined by 46.4% and yield has increased by 118.1% from the first available positive ICRISAT year.,Marginal,Marginal,Marginal,Marginal,Marginal,Unsuitable,Unsuitable,0,1,"Turmeric remains stable; projected stress is mainly 33.3 heat-stress days, but it is not enough to change the suitability class under this scoring rule.","Turmeric declines by 1 suitability class(es) because the scenario shows agricultural stress (79.4), 33.3 heat-stress days, soil-moisture deficit (0.01); this affects water demand, heat tolerance, and soil-moisture reliability.",Avoid expansion under high heat stress,Turmeric area has declined by 3.3% and yield has no historical trend available between the first and latest positive ICRISAT observations.,,0.0,1.52,1.47,2003.0,2019.0,-3.29,0.0,0.0,,,,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,9.52,2.61,24.59,0.0,,3.12,1.015,33.3,,Low Risk,Low,Low,Low,9.56,2.5,24.81,0.0,,4.38,1.019,33.3,,Low Risk,Low,Low,Low,9.48,2.72,24.37,0.0,,1.87,1.01,33.3,,Low Risk,Low,Low,Low,32.12,25.43,24.59,48.72,,3.13,1.015,33.3,,Moderate Risk,Low,Moderate,Moderate,46.39,39.68,24.81,79.38,,4.38,1.019,33.3,,Moderate Risk,Low,Moderate,Severe
