state,district,scenario,year,climate_confidence,confidence_class,annual_rainfall,annual_rainfall_change_pct,rx1day,rx3day,rain_p95,rain_p99,cdd,cwd,spi3,spi6,temperature_anomaly,mean_temperature,heat_stress_days_35,heat_stress_days_38,heat_stress_days_40,soil_moisture_deficit,water_availability_index,predicted_sm_anomaly,ag_stress_score,ag_stress_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,overall_risk_score,overall_risk_class,risk_rank
BIHAR,ARARIA,ssp245,2030,,Low Confidence,1660.6108804009355,7.27,71.7001006806291,118.30516612303802,23.981835019269965,49.215389562361764,63.13064481574015,31.931729026373088,-0.26615496545323697,-0.23953946890791328,0.5181666923893999,22.941728056801708,7.9,0.5,0.0,0.0,1.0457,0.004804126,0.0,Low,46.84,Moderate,23.6,Low,24.65,Low Risk,11
BIHAR,ARWAL,ssp245,2030,,Low Confidence,960.1784477952853,1.87,62.40323299937636,102.96533444897098,17.013939645294908,33.416610218968046,67.51468502289623,23.898589074799148,0.0548773846708568,0.04938964620377112,,,33.3,3.6,0.5,0.0,1.0104,0.0055400403,0.0,Low,24.37,Low,2.72,Low,9.48,Low Risk,64
BIHAR,AURANGABAD,ssp245,2030,,Low Confidence,1059.433519593104,0.32,58.36543242680663,96.30296350423093,17.739608434298923,36.017632043170906,65.02455720124132,30.01157588512413,0.38116664019242613,0.3430499761731835,0.3069482326507682,25.64619611501695,48.1,6.2,1.0,0.0,0.9936,0.004786441,0.0,Low,29.28,Moderate,2.05,Low,10.97,Low Risk,48
BIHAR,BANKA,ssp245,2030,,Low Confidence,1238.114023873509,3.0,70.89643259721919,116.97911378541166,20.461319843071532,41.72274917781401,69.91908839453859,14.100075138061964,0.2768441701327497,0.24915975311947475,,,33.3,3.6,0.5,0.0,1.0096,0.0045968224,0.0,Low,24.42,Low,3.36,Low,9.72,Low Risk,62
BIHAR,BEGUSARAI,ssp245,2030,,Low Confidence,1084.734895991717,5.86,61.51797602173541,101.50466043586341,17.400216554248995,36.51365103311588,65.66135643721995,18.655202246510818,-0.12405419059856188,-0.11164877153870569,0.46674465272162635,26.25645162794326,65.8,10.1,1.8,0.0,1.0435,0.00930847,0.0,Low,19.91,Low,12.51,Low,11.35,Low Risk,46
BIHAR,BHAGALPUR,ssp245,2030,,Low Confidence,1286.8615869529544,4.1,66.34423615355874,109.46798965337192,19.93484443309165,38.88213909947817,63.456275070293415,20.843210692047357,-0.24870992877184506,-0.22383893589466056,0.5568997244040297,26.34083750645321,68.5,10.8,1.9,0.0,1.028,0.007555725,0.0,Low,27.23,Moderate,22.25,Low,17.32,Low Risk,20
BIHAR,BHOJPUR,ssp245,2030,,Low Confidence,897.2785319533962,1.57,56.475380212144366,93.1843773500382,14.61117212239521,35.71013391482019,75.56932034360834,17.61418585727221,-0.20287150855765684,-0.18258435770189116,0.2960068563620375,25.72476558685304,50.2,6.7,1.1,0.0,1.011,0.006665588,0.0,Low,13.86,Low,21.69,Low,12.44,Low Risk,39
BIHAR,BUXAR,ssp245,2030,,Low Confidence,882.2228792935457,0.35,51.87110357147795,85.58732089293862,14.58441773211085,32.79693879763758,70.97649170297416,22.092499479389375,-0.3143490722361311,-0.28291416501251804,,,33.3,3.6,0.5,0.0,0.999,0.0043229843,0.0,Low,14.76,Low,29.7,Moderate,15.56,Low Risk,24
BIHAR,DARBHANGA,ssp245,2030,,Low Confidence,1138.7617726351498,6.08,71.52386256243423,118.01437322801648,17.414635620285082,38.899458897251634,74.13148214192881,18.66522801327391,0.17847320631134636,0.16062588568021172,,,33.3,3.6,0.5,0.0,1.0337,0.004787019,0.0,Low,26.29,Moderate,4.49,Low,10.77,Low Risk,51
BIHAR,GAYA,ssp245,2030,,Low Confidence,1079.9705330147435,1.89,57.617577626233995,95.06900308328609,18.386550770277246,35.42120465217379,62.91035508296582,20.90461994669357,0.2962810055960861,0.2666529050364775,0.3069482326507682,25.64619611501695,48.1,6.2,1.0,0.0,1.0089,0.005501303,0.0,Low,20.27,Low,1.49,Low,7.62,Low Risk,71
BIHAR,GOPALGANJ,ssp245,2030,,Low Confidence,984.889395620763,1.6,74.82103535578393,123.45470833704348,15.314004509460872,36.72535350029316,73.42903522299414,14.256967313341462,-0.5763464429244903,-0.5187117986320413,0.332389730215084,25.647379525502533,48.1,6.2,1.0,0.0,1.011,0.0068199825,0.0,Low,21.77,Low,52.07,High,25.84,Moderate Risk,9
BIHAR,JAMUI,ssp245,2030,,Low Confidence,1173.78925326432,3.45,72.0690162941028,118.9138768852696,18.175444570068386,40.346176478008424,61.68766010610575,13.721234513830499,0.039630316430484196,0.03566728478743578,0.4589224470986224,26.396755497985414,70.4,11.3,2.1,0.0,1.0147,0.004238246,0.0,Low,22.72,Low,1.16,Low,8.36,Low Risk,67
BIHAR,JEHANABAD,ssp245,2030,,Low Confidence,964.9368638909543,3.15,66.11439403687591,109.08875016084524,16.77233710384671,36.29775118390049,64.7272207152252,15.512160329429676,-0.024873784738095105,-0.022386406264285594,,,33.3,3.6,0.5,0.0,1.022,0.007287508,0.0,Low,18.96,Low,4.04,Low,8.05,Low Risk,70
BIHAR,KAIMUR (BHABUA),ssp245,2030,,Low Confidence,1017.2849178055137,-0.59,57.216467963922625,94.40717214047233,16.721638171590335,33.566041518398706,67.0465242406409,28.522240643985228,0.08059328858030866,0.0725339597222778,,,33.3,3.6,0.5,0.0,0.9886,0.0041816803,0.0,Low,25.77,Moderate,2.59,Low,9.93,Low Risk,61
BIHAR,KATIHAR,ssp245,2030,,Low Confidence,1460.5804724992406,3.04,65.01643917599517,107.27712464039203,21.40830173516132,41.318172997035084,61.99068908968155,20.512010663102224,-0.009277468196784855,-0.00834972137710637,0.5568997244040297,26.34083750645321,68.5,10.8,1.9,0.0,1.0152,0.004563581,0.0,Low,27.88,Moderate,2.01,Low,10.46,Low Risk,52
BIHAR,KHAGARIA,ssp245,2030,,Low Confidence,1178.732088324325,5.53,74.53066291239705,122.97559380545512,17.53519991776501,37.352665948486234,65.31345514635883,19.05285032310052,-0.015670155419307347,-0.014103139877376613,0.46674465272162635,26.25645162794326,65.8,10.1,1.8,0.0,1.0345,0.0054956665,0.0,Low,28.01,Moderate,3.43,Low,11.0,Low Risk,47
BIHAR,KISHANGANJ,ssp245,2030,,Low Confidence,2081.091131947752,5.25,86.97396619323266,143.50704421883387,29.421278745675842,53.067886474289836,63.44299684844337,32.022490589169365,-1.4133751128134175,-1.2720376015320758,,,33.3,3.6,0.5,0.0,1.0251,0.0009060162,0.0,Low,60.49,High,51.63,High,39.24,Moderate Risk,5
BIHAR,LAKHISARAI,ssp245,2030,,Low Confidence,1113.5076687469366,5.59,67.55732949663977,111.4695936694556,18.26058641200886,37.52425836203809,62.56951512805465,17.593536133254553,0.08740184536071721,0.0786616608246455,,,33.3,3.6,0.5,0.0,1.0401,0.009157193,0.0,Low,23.19,Low,1.4,Low,8.61,Low Risk,66
BIHAR,MADHEPURA,ssp245,2030,,Low Confidence,1279.1190905222008,5.11,69.92099212883711,115.36963701258124,18.81044043463381,40.81416116460605,64.99340542558531,16.83732084603177,-0.29735917292752967,-0.26762325563477674,,,33.3,3.6,0.5,0.0,1.0258,0.004859142,0.0,Low,25.12,Moderate,26.69,Moderate,18.13,Low Risk,17
BIHAR,MADHUBANI,ssp245,2030,,Low Confidence,1243.6676907777542,6.52,75.33336830926521,124.30005771028759,19.312641233859043,38.695844163989904,73.1670761614296,21.759309994799736,0.08772233421708846,0.07895010079537962,0.39544289443228564,25.84881186617746,53.6,7.4,1.2,0.0,1.0357,0.0037584,0.0,Low,32.73,Moderate,4.23,Low,12.94,Low Risk,37
BIHAR,MUNGER,ssp245,2030,,Low Confidence,1172.4958472132694,4.93,76.81938483479955,126.75198497741926,17.401558880333372,40.37410706501633,63.76641540188903,20.391183321566533,0.05187761663607551,0.04668985497246796,,,33.3,3.6,0.5,0.0,1.0331,0.009150324,0.0,Low,31.38,Moderate,1.72,Low,11.58,Low Risk,45
BIHAR,MUZAFFARPUR,ssp245,2030,,Low Confidence,1021.7840685739955,4.65,72.40517671835241,119.46854158528147,16.156070153185112,35.13984670030381,68.94579044644352,16.158084987768788,-0.35062621334492206,-0.3155635920104299,,,33.3,3.6,0.5,0.0,1.0383,0.009331454,0.0,Low,22.39,Low,32.16,Moderate,19.09,Low Risk,15
BIHAR,NALANDA,ssp245,2030,,Low Confidence,996.0344757226167,5.32,55.18625623944709,91.0573227950877,16.545987687604462,33.918921540518674,66.33050449381912,18.006626864144035,-0.05301687334788796,-0.04771518601309917,,,33.3,3.6,0.5,0.0,1.0377,0.008053847,0.0,Low,14.35,Low,6.8,Low,7.4,Low Risk,73
