feature,importance,target
year,0.196614462915945,ndvi_anomaly
soil_moisture_anomaly,0.14299818579733206,ndvi_anomaly
cdd,0.10479444449950265,ndvi_anomaly
mean_soil_moisture,0.058755926936010526,ndvi_anomaly
annual_rainfall,0.05429144484350681,ndvi_anomaly
rainfall_anomaly,0.04848273730551923,ndvi_anomaly
rain_p95,0.039319644237374315,ndvi_anomaly
district_code,0.03931948326811556,ndvi_anomaly
rain_p99,0.03871668622915373,ndvi_anomaly
mean_humidity,0.03683772786025241,ndvi_anomaly
spi6,0.036053595684762796,ndvi_anomaly
spi3,0.03368776263728661,ndvi_anomaly
humidity_anomaly,0.03104125414221054,ndvi_anomaly
rx3day,0.030914589622887918,ndvi_anomaly
temperature_anomaly,0.03059896683513399,ndvi_anomaly
rx1day,0.029393991442832026,ndvi_anomaly
cwd,0.02412125546876866,ndvi_anomaly
mean_temperature,0.014811813101524811,ndvi_anomaly
state_code,0.009246027171880522,ndvi_anomaly
