feature,importance,target
lai_anomaly,0.21160837,ndwi_anomaly
year,0.091740035,ndwi_anomaly
state_code,0.0895908,ndwi_anomaly
et_anomaly,0.057401676,ndwi_anomaly
mean_solar,0.050644565,ndwi_anomaly
solar_anomaly,0.047270156,ndwi_anomaly
mean_humidity,0.044092257,ndwi_anomaly
pet_anomaly,0.040372226,ndwi_anomaly
district_code,0.038484823,ndwi_anomaly
soil_moisture_anomaly,0.03623293,ndwi_anomaly
spi6,0.02827937,ndwi_anomaly
mean_lai,0.02665747,ndwi_anomaly
humidity_anomaly,0.023200717,ndwi_anomaly
rainfall_anomaly,0.022871641,ndwi_anomaly
mean_et,0.022271072,ndwi_anomaly
spi3,0.021174338,ndwi_anomaly
temperature_anomaly,0.019009942,ndwi_anomaly
mean_pet,0.017842995,ndwi_anomaly
rx1day,0.017071076,ndwi_anomaly
mean_soil_moisture,0.016297212,ndwi_anomaly
cdd,0.015194945,ndwi_anomaly
cwd,0.013370622,ndwi_anomaly
rx3day,0.012647054,ndwi_anomaly
rain_p99,0.011039564,ndwi_anomaly
rain_p95,0.010509996,ndwi_anomaly
mean_temperature,0.008870016,ndwi_anomaly
annual_rainfall,0.006254189,ndwi_anomaly
