feature,importance,target
soil_moisture_anomaly,0.4082936,sm_anomaly
year,0.26327655,sm_anomaly
state_code,0.04744385,sm_anomaly
mean_solar,0.036670182,sm_anomaly
rainfall_anomaly,0.032124575,sm_anomaly
rain_p95,0.031908244,sm_anomaly
district_code,0.023094693,sm_anomaly
pet_anomaly,0.022286456,sm_anomaly
annual_rainfall,0.022186184,sm_anomaly
solar_anomaly,0.021289127,sm_anomaly
et_anomaly,0.017382413,sm_anomaly
mean_lai,0.008747422,sm_anomaly
cwd,0.006550416,sm_anomaly
rain_p99,0.006524784,sm_anomaly
mean_soil_moisture,0.006194924,sm_anomaly
spi3,0.005743115,sm_anomaly
spi6,0.0057275402,sm_anomaly
mean_et,0.0056725573,sm_anomaly
cdd,0.0056680352,sm_anomaly
mean_pet,0.005161097,sm_anomaly
mean_humidity,0.003292616,sm_anomaly
mean_temperature,0.00311536,sm_anomaly
lai_anomaly,0.003085019,sm_anomaly
rx1day,0.0027597826,sm_anomaly
temperature_anomaly,0.0022337076,sm_anomaly
rx3day,0.0020052532,sm_anomaly
humidity_anomaly,0.0015625353,sm_anomaly
