state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
BIHAR,ARARIA,ssp585,2030,16.94,Low Risk,,46.84,Moderate,1.55,Low,0.0,Low,1.0457,7.27,0.8181666923894,0.0,52.28,7.9,63.13064481574015,31.931729026373088,7.27
BIHAR,ARWAL,ssp585,2030,23.43,Low Risk,,24.37,Low,42.57,Moderate,0.0,Low,1.0104,1.87,,0.0,50.52,33.3,67.51468502289623,23.898589074799148,1.87
BIHAR,AURANGABAD,ssp585,2030,28.47,Moderate Risk,,29.28,Moderate,52.05,High,0.0,Low,0.9936,0.32,0.6069482326507682,0.0,49.68,48.1,65.02455720124132,30.01157588512413,0.32
BIHAR,BANKA,ssp585,2030,23.56,Low Risk,,24.42,Low,15.94,Low,31.43,Moderate,1.0096,3.0,,0.0033501198550103827,48.62,33.3,69.91908839453859,14.100075138061964,3.0
BIHAR,BEGUSARAI,ssp585,2030,7.75,Low Risk,,19.91,Low,2.22,Low,0.0,Low,1.0435,5.86,0.7667446527216264,0.0,52.18,65.8,65.66135643721995,18.655202246510818,5.86
BIHAR,BHAGALPUR,ssp585,2030,10.1,Low Risk,,27.23,Moderate,1.63,Low,0.0,Low,1.028,4.1,0.8568997244040297,0.0,51.4,68.5,63.456275070293415,20.843210692047357,4.1
BIHAR,BHOJPUR,ssp585,2030,14.6,Low Risk,,13.86,Low,24.06,Low,4.44,Low,1.011,1.57,0.5960068563620375,0.00047322104079368,50.24,50.2,75.56932034360834,17.61418585727221,1.57
BIHAR,BUXAR,ssp585,2030,7.89,Low Risk,,14.76,Low,4.96,Low,3.28,Low,0.999,0.35,,0.00034990058689076867,49.73,33.3,70.97649170297416,22.092499479389375,0.35
BIHAR,DARBHANGA,ssp585,2030,10.77,Low Risk,,26.29,Moderate,4.49,Low,0.0,Low,1.0337,6.08,,0.0,51.68,33.3,74.13148214192881,18.66522801327391,6.08
BIHAR,GAYA,ssp585,2030,25.12,Moderate Risk,,20.27,Low,51.49,High,0.0,Low,1.0089,1.89,0.6069482326507682,0.0,50.44,48.1,62.91035508296582,20.90461994669357,1.89
BIHAR,GOPALGANJ,ssp585,2030,9.12,Low Risk,,21.77,Low,4.3,Low,0.0,Low,1.011,1.6,0.632389730215084,0.0,50.55,48.1,73.42903522299414,14.256967313341462,1.6
BIHAR,JAMUI,ssp585,2030,28.54,Moderate Risk,,22.72,Low,19.51,Low,45.87,Moderate,1.0147,3.45,0.7589224470986224,0.0048889583386906126,47.74,70.4,61.68766010610575,13.721234513830499,3.45
BIHAR,JEHANABAD,ssp585,2030,24.23,Low Risk,,18.96,Low,50.27,High,0.0,Low,1.022,3.15,,0.0,51.1,33.3,64.7272207152252,15.512160329429676,3.15
BIHAR,KAIMUR (BHABUA),ssp585,2030,9.93,Low Risk,,25.77,Moderate,2.59,Low,0.0,Low,0.9886,-0.59,,0.0,49.43,33.3,67.0465242406409,28.522240643985228,-0.59
BIHAR,KATIHAR,ssp585,2030,10.19,Low Risk,,27.88,Moderate,1.24,Low,0.0,Low,1.0152,3.04,0.8568997244040297,0.0,50.76,68.5,61.99068908968155,20.512010663102224,3.04
BIHAR,KHAGARIA,ssp585,2030,10.55,Low Risk,,28.01,Moderate,2.13,Low,0.0,Low,1.0345,5.53,0.7667446527216264,0.0,51.72,65.8,65.31345514635883,19.05285032310052,5.53
BIHAR,KISHANGANJ,ssp585,2030,33.71,Moderate Risk,,60.49,High,12.51,Low,27.19,Moderate,1.0251,5.25,,0.002897687830828673,50.01,33.3,63.44299684844337,32.022490589169365,5.25
BIHAR,LAKHISARAI,ssp585,2030,8.61,Low Risk,,23.19,Low,1.4,Low,0.0,Low,1.0401,5.59,,0.0,52.0,33.3,62.56951512805465,17.593536133254553,5.59
BIHAR,MADHEPURA,ssp585,2030,25.36,Moderate Risk,,25.12,Moderate,16.46,Low,36.03,Moderate,1.0258,5.11,,0.0038400464245545553,49.19,33.3,64.99340542558531,16.83732084603177,5.11
BIHAR,MADHUBANI,ssp585,2030,35.2,Moderate Risk,,32.73,Moderate,24.47,Low,50.6,High,1.0357,6.52,0.6954428944322857,0.005393248344456911,48.83,53.6,73.1670761614296,21.759309994799736,6.52
BIHAR,MUNGER,ssp585,2030,11.58,Low Risk,,31.38,Moderate,1.72,Low,0.0,Low,1.0331,4.93,,0.0,51.65,33.3,63.76641540188903,20.391183321566533,4.93
BIHAR,MUZAFFARPUR,ssp585,2030,8.92,Low Risk,,22.39,Low,3.1,Low,0.0,Low,1.0383,4.65,,0.0,51.92,33.3,68.94579044644352,16.158084987768788,4.65
BIHAR,NALANDA,ssp585,2030,13.36,Low Risk,,14.35,Low,23.83,Low,0.0,Low,1.0377,5.32,,0.0,51.89,33.3,66.33050449381912,18.006626864144035,5.32
BIHAR,NAWADA,ssp585,2030,16.77,Low Risk,,17.7,Low,30.21,Moderate,0.0,Low,1.0247,3.79,,0.0,51.24,33.3,62.922447283695455,15.086031089166097,3.79
