district,scenario,year,key_insight_1,key_insight_2,key_insight_3
ARARIA,ssp245,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ARWAL,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.9%.,Overall risk class is Low Risk.
AURANGABAD,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 0.3%.
BANKA,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.0%.,Overall risk class is Low Risk.
BEGUSARAI,ssp245,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHAGALPUR,ssp245,2030,Temperature projected to increase by 0.6C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.1%.
BHOJPUR,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.6%.
BUXAR,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 0.3%.,Overall risk class is Low Risk.
DARBHANGA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.1%.
GAYA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.9%.
GOPALGANJ,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.6%.
JAMUI,ssp245,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.5%.
JEHANABAD,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.,Overall risk class is Low Risk.
KAIMUR (BHABUA),ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a decline of 0.6%.,Overall risk class is Low Risk.
KATIHAR,ssp245,2030,Temperature projected to increase by 0.6C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.0%.
KHAGARIA,ssp245,2030,Temperature projected to increase by 0.5C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KISHANGANJ,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.2%.
LAKHISARAI,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.6%.
MADHEPURA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.1%.
MADHUBANI,ssp245,2030,Temperature projected to increase by 0.4C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MUNGER,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.9%.,Overall risk class is Low Risk.
MUZAFFARPUR,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.7%.,Overall risk class is Low Risk.
NALANDA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.3%.
NAWADA,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.8%.,Overall risk class is Low Risk.
PASHCHIM CHAMPARAN,ssp245,2030,Temperature projected to increase by 0.4C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.3%.
PATNA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.8%.
PURBA CHAMPARAN,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.
PURNIA,ssp245,2030,Temperature projected to increase by 0.6C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.5%.
ROHTAS,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a decline of 0.1%.,Overall risk class is Low Risk.
SAHARSA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.7%.
SAMASTIPUR,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.9%.
SARAN,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.6%.,Overall risk class is Low Risk.
SHEIKHPURA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.8%.
SHEOHAR,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.1%.,Overall risk class is Low Risk.
SITAMARHI,ssp245,2030,Temperature projected to increase by 0.4C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SIWAN,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.4%.,Overall risk class is Moderate Risk.
SUPAUL,ssp245,2030,Temperature projected to increase by 0.4C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
VAISHALI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AHILYANAGAR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
AKOLA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AMRAVATI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BEED,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.7%.,Overall risk class is Low Risk.
BHANDARA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BULDHANA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.0%.
CHANDRAPUR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
CHHATRAPATI SAMBHAJI NAGAR,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.0%.
DHARASHIV,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
DHULE,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
GADCHIROLI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.9%.
GONDIA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.5%.
HINGOLI,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.5%.,Overall risk class is Low Risk.
JALGAON,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.7%.
JALNA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.5%.
KOLHAPUR,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
LATUR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MUMBAI,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.,Overall risk class is Low Risk.
MUMBAI SUBURBAN,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.9%.,Overall risk class is Low Risk.
NAGPUR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NANDED,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
