district,scenario,year,primary_driver,secondary_driver,third_driver
ARARIA,ssp245,2030,Increasing Wet Days,Extreme Rainfall Increase,Flood Hazard
ARWAL,ssp245,2030,Increasing Wet Days,Flood Hazard,Increasing Dry Days
AURANGABAD,ssp245,2030,Increasing Wet Days,Flood Hazard,Temperature Increase
BANKA,ssp245,2030,Flood Hazard,Extreme Rainfall Increase,Increasing Dry Days
BEGUSARAI,ssp245,2030,Extreme Rainfall Increase,Temperature Increase,Increasing Wet Days
BHAGALPUR,ssp245,2030,Temperature Increase,Extreme Rainfall Increase,Flood Hazard
BHOJPUR,ssp245,2030,Increasing Dry Days,Drought Hazard,Increasing Wet Days
BUXAR,ssp245,2030,Increasing Wet Days,Drought Hazard,Increasing Dry Days
DARBHANGA,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Dry Days
GAYA,ssp245,2030,Increasing Wet Days,Flood Hazard,Temperature Increase
GOPALGANJ,ssp245,2030,Drought Hazard,Increasing Dry Days,Flood Hazard
JAMUI,ssp245,2030,Extreme Rainfall Increase,Temperature Increase,Flood Hazard
JEHANABAD,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Dry Days
KAIMUR (BHABUA),ssp245,2030,Rainfall Decline,Increasing Wet Days,Flood Hazard
KATIHAR,ssp245,2030,Temperature Increase,Flood Hazard,Increasing Wet Days
KHAGARIA,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Temperature Increase
KISHANGANJ,ssp245,2030,Flood Hazard,Increasing Wet Days,Drought Hazard
LAKHISARAI,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
MADHEPURA,ssp245,2030,Extreme Rainfall Increase,Drought Hazard,Flood Hazard
MADHUBANI,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
MUNGER,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
MUZAFFARPUR,ssp245,2030,Extreme Rainfall Increase,Drought Hazard,Flood Hazard
NALANDA,ssp245,2030,Extreme Rainfall Increase,Increasing Wet Days,Increasing Dry Days
NAWADA,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Dry Days
PASHCHIM CHAMPARAN,ssp245,2030,Flood Hazard,Extreme Rainfall Increase,Increasing Wet Days
PATNA,ssp245,2030,Extreme Rainfall Increase,Increasing Dry Days,Increasing Wet Days
PURBA CHAMPARAN,ssp245,2030,Drought Hazard,Flood Hazard,Extreme Rainfall Increase
PURNIA,ssp245,2030,Increasing Wet Days,Flood Hazard,Extreme Rainfall Increase
ROHTAS,ssp245,2030,Increasing Wet Days,Flood Hazard,Rainfall Decline
SAHARSA,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Drought Hazard
SAMASTIPUR,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
SARAN,ssp245,2030,Drought Hazard,Increasing Dry Days,Extreme Rainfall Increase
SHEIKHPURA,ssp245,2030,Extreme Rainfall Increase,Increasing Wet Days,Flood Hazard
SHEOHAR,ssp245,2030,Extreme Rainfall Increase,Increasing Dry Days,Flood Hazard
SITAMARHI,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Temperature Increase
SIWAN,ssp245,2030,Drought Hazard,Increasing Dry Days,Flood Hazard
SUPAUL,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
VAISHALI,ssp245,2030,Drought Hazard,Extreme Rainfall Increase,Temperature Increase
AHILYANAGAR,ssp245,2030,Increasing Dry Days,Extreme Rainfall Increase,Flood Hazard
AKOLA,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Dry Days
AMRAVATI,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
BEED,ssp245,2030,Extreme Rainfall Increase,Increasing Dry Days,Increasing Wet Days
BHANDARA,ssp245,2030,Flood Hazard,Extreme Rainfall Increase,Temperature Increase
BULDHANA,ssp245,2030,Increasing Dry Days,Flood Hazard,Extreme Rainfall Increase
CHANDRAPUR,ssp245,2030,Extreme Rainfall Increase,Flood Hazard,Increasing Wet Days
CHHATRAPATI SAMBHAJI NAGAR,ssp245,2030,Increasing Dry Days,Extreme Rainfall Increase,Flood Hazard
DHARASHIV,ssp245,2030,Extreme Rainfall Increase,Increasing Dry Days,Increasing Wet Days
