state,district,scenario,overall_risk_change,flood_risk_change,drought_risk_change,ag_stress_change,water_availability_change,temperature_change_change,rainfall_change_change
BIHAR,ARARIA,ssp245,28.03,2.05,24.84,62.06,0.009,0.5,2.64
BIHAR,ARARIA,ssp585,44.72,2.05,40.02,100.0,0.009,0.9,2.64
BIHAR,ARWAL,ssp245,-13.2,0.44,-38.17,0.0,0.008,,2.51
BIHAR,ARWAL,ssp585,22.53,0.44,-6.98,82.72,0.008,,2.51
BIHAR,AURANGABAD,ssp245,-17.26,0.9,-50.21,0.0,0.008,0.5,2.47
BIHAR,AURANGABAD,ssp585,26.74,0.9,-10.21,100.0,0.008,0.9,2.47
BIHAR,BANKA,ssp245,19.48,1.05,17.61,43.14,0.009,,2.54
BIHAR,BANKA,ssp585,30.65,1.05,27.77,68.57,0.009,,2.54
BIHAR,BEGUSARAI,ssp245,0.08,0.31,-0.07,0.0,0.009,0.5,2.61
BIHAR,BEGUSARAI,ssp585,30.91,0.31,27.96,70.07,0.009,0.9,2.61
BIHAR,BHAGALPUR,ssp245,0.19,0.64,-0.11,0.0,0.009,0.5,2.56
BIHAR,BHAGALPUR,ssp585,37.81,0.64,34.09,85.51,0.009,0.9,2.56
BIHAR,BHOJPUR,ssp245,-5.75,0.34,-16.77,0.0,0.008,0.5,2.5
BIHAR,BHOJPUR,ssp585,24.32,0.34,10.0,68.99,0.008,0.9,2.5
BIHAR,BUXAR,ssp245,4.0,0.95,3.3,8.38,0.008,,2.47
BIHAR,BUXAR,ssp585,38.62,0.95,34.78,87.06,0.008,,2.47
BIHAR,DARBHANGA,ssp245,17.45,0.97,15.71,38.7,0.009,,2.61
BIHAR,DARBHANGA,ssp585,44.42,0.97,40.23,100.0,0.009,,2.61
BIHAR,GAYA,ssp245,-17.42,0.45,-50.21,0.0,0.009,0.5,2.5
BIHAR,GAYA,ssp585,26.58,0.45,-10.21,100.0,0.009,0.9,2.5
BIHAR,GOPALGANJ,ssp245,0.59,1.79,-0.13,0.0,0.008,0.5,2.5
BIHAR,GOPALGANJ,ssp585,33.9,1.79,30.15,75.72,0.008,0.9,2.5
BIHAR,JAMUI,ssp245,22.54,1.03,20.09,50.49,0.009,0.5,2.55
BIHAR,JAMUI,ssp585,24.14,1.03,21.54,54.13,0.009,0.9,2.55
BIHAR,JEHANABAD,ssp245,-16.02,0.54,-46.3,0.0,0.009,,2.54
BIHAR,JEHANABAD,ssp585,8.6,0.54,-25.49,57.76,0.009,,2.54
BIHAR,KAIMUR (BHABUA),ssp245,0.12,0.55,-0.19,0.0,0.008,,2.45
BIHAR,KAIMUR (BHABUA),ssp585,35.43,0.55,31.91,80.23,0.008,,2.45
BIHAR,KATIHAR,ssp245,0.47,1.51,-0.17,0.0,0.009,0.5,2.54
BIHAR,KATIHAR,ssp585,44.47,1.51,39.83,100.0,0.009,0.9,2.54
BIHAR,KHAGARIA,ssp245,0.22,0.74,-0.1,0.0,0.009,0.5,2.6
BIHAR,KHAGARIA,ssp585,40.93,0.74,36.9,92.51,0.009,0.9,2.6
BIHAR,KISHANGANJ,ssp245,12.79,1.98,10.94,27.57,0.009,,2.59
BIHAR,KISHANGANJ,ssp585,32.69,1.98,29.03,72.81,0.009,,2.59
BIHAR,LAKHISARAI,ssp245,0.28,0.92,-0.12,0.0,0.009,,2.61
BIHAR,LAKHISARAI,ssp585,23.79,0.92,21.26,53.45,0.009,,2.61
BIHAR,MADHEPURA,ssp245,16.97,0.48,15.23,38.25,0.009,,2.58
BIHAR,MADHEPURA,ssp585,28.29,0.48,25.52,63.97,0.009,,2.58
BIHAR,MADHUBANI,ssp245,26.37,1.9,23.54,58.23,0.009,0.5,2.63
BIHAR,MADHUBANI,ssp585,22.49,1.9,20.01,49.4,0.009,0.9,2.63
BIHAR,MUNGER,ssp245,0.37,1.11,-0.07,0.0,0.009,,2.59
BIHAR,MUNGER,ssp585,32.48,1.11,29.12,72.97,0.009,,2.59
BIHAR,MUZAFFARPUR,ssp245,0.42,1.19,0.01,0.0,0.009,,2.58
BIHAR,MUZAFFARPUR,ssp585,23.6,1.19,21.08,52.67,0.009,,2.58
BIHAR,NALANDA,ssp245,-6.94,0.64,-20.45,0.0,0.009,,2.59
BIHAR,NALANDA,ssp585,27.04,0.64,9.74,78.02,0.009,,2.59
BIHAR,NAWADA,ssp245,-9.43,0.48,-27.43,0.0,0.009,,2.56
BIHAR,NAWADA,ssp585,27.47,0.48,5.19,84.97,0.009,,2.56
BIHAR,PASHCHIM CHAMPARAN,ssp245,0.77,2.23,-0.04,0.0,0.009,0.5,2.54
BIHAR,PASHCHIM CHAMPARAN,ssp585,38.95,2.23,34.67,86.77,0.009,0.9,2.54
BIHAR,PATNA,ssp245,0.19,0.34,0.21,0.0,0.009,0.5,2.58
BIHAR,PATNA,ssp585,33.37,0.34,30.37,75.4,0.009,0.9,2.58
BIHAR,PURBA CHAMPARAN,ssp245,0.45,1.43,-0.13,0.0,0.009,0.5,2.53
BIHAR,PURBA CHAMPARAN,ssp585,39.73,1.43,35.58,89.27,0.009,0.9,2.53
BIHAR,PURNIA,ssp245,0.81,2.44,-0.13,0.0,0.009,0.5,2.57
BIHAR,PURNIA,ssp585,44.81,2.44,39.87,100.0,0.009,0.9,2.57
BIHAR,ROHTAS,ssp245,-16.26,0.52,-46.98,0.0,0.008,,2.46
BIHAR,ROHTAS,ssp585,18.79,0.52,-16.7,81.51,0.008,,2.46
BIHAR,SAHARSA,ssp245,19.76,0.71,17.68,44.4,0.01,,2.6
BIHAR,SAHARSA,ssp585,26.49,0.71,23.79,59.69,0.01,,2.6
BIHAR,SAMASTIPUR,ssp245,0.15,0.51,-0.09,0.0,0.009,,2.61
BIHAR,SAMASTIPUR,ssp585,22.57,0.51,20.29,50.96,0.009,,2.61
BIHAR,SARAN,ssp245,0.3,0.84,0.01,0.0,0.008,,2.53
BIHAR,SARAN,ssp585,26.12,0.84,23.48,58.68,0.008,,2.53
BIHAR,SHEIKHPURA,ssp245,0.26,0.79,-0.06,0.0,0.009,,2.61
BIHAR,SHEIKHPURA,ssp585,38.42,0.79,34.63,86.73,0.009,,2.61
BIHAR,SHEOHAR,ssp245,0.39,0.93,0.18,0.0,0.009,,2.56
BIHAR,SHEOHAR,ssp585,34.14,0.93,30.86,76.71,0.009,,2.56
BIHAR,SITAMARHI,ssp245,0.28,0.66,0.14,0.0,0.009,0.5,2.59
BIHAR,SITAMARHI,ssp585,42.4,0.66,38.43,95.73,0.009,0.9,2.59
BIHAR,SIWAN,ssp245,0.37,1.25,-0.18,0.0,0.008,,2.5
BIHAR,SIWAN,ssp585,25.5,1.25,22.66,57.12,0.008,,2.5
BIHAR,SUPAUL,ssp245,1.02,2.66,0.25,0.0,0.009,0.5,2.64
BIHAR,SUPAUL,ssp585,45.02,2.66,40.25,100.0,0.009,0.9,2.64
BIHAR,VAISHALI,ssp245,0.22,0.61,-0.01,0.0,0.008,0.5,2.6
BIHAR,VAISHALI,ssp585,0.22,0.61,-0.01,0.0,0.008,0.9,2.6
MAHARASHTRA,AHILYANAGAR,ssp245,0.17,0.47,0.03,0.0,0.009,0.5,2.57
MAHARASHTRA,AHILYANAGAR,ssp585,33.97,0.47,30.75,76.81,0.009,0.9,2.57
MAHARASHTRA,AKOLA,ssp245,0.19,0.78,-0.23,0.0,0.009,0.5,2.6
