scenario,year,ag_stress_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp245,2030,1,MAHARASHTRA,SINDHUDURG,ssp245,2030,65.58,High Risk,98.22,Very High,69.04,High,23.45,Low,1.0341,0.310854793919475,5.48
ssp245,2030,2,MAHARASHTRA,RATNAGIRI,ssp245,2030,64.39,High Risk,99.82,Very High,68.54,High,18.22,Low,1.0323,0.3278515418370595,5.15
ssp245,2030,3,TELANGANA,JOGULAMBA GADWAL,ssp245,2030,5.33,Low Risk,0.1,Low,7.61,Low,8.77,Low,1.0009,,-0.28
ssp245,2030,4,MAHARASHTRA,KOLHAPUR,ssp245,2030,29.36,Moderate Risk,63.32,High,20.05,Low,0.59,Low,1.0347,0.2825651446978341,5.28
ssp245,2030,5,BIHAR,BEGUSARAI,ssp245,2030,11.35,Low Risk,19.91,Low,12.51,Low,0.0,Low,1.0435,0.4667446527216263,5.86
ssp245,2030,6,BIHAR,BHAGALPUR,ssp245,2030,17.32,Low Risk,27.23,Moderate,22.25,Low,0.0,Low,1.028,0.5568997244040297,4.1
ssp245,2030,7,BIHAR,BHOJPUR,ssp245,2030,12.44,Low Risk,13.86,Low,21.69,Low,0.0,Low,1.011,0.2960068563620375,1.57
ssp245,2030,8,BIHAR,BANKA,ssp245,2030,9.72,Low Risk,24.42,Low,3.36,Low,0.0,Low,1.0096,,3.0
ssp245,2030,9,BIHAR,ARARIA,ssp245,2030,24.65,Low Risk,46.84,Moderate,23.6,Low,0.0,Low,1.0457,0.5181666923893999,7.27
ssp245,2030,10,BIHAR,ARWAL,ssp245,2030,9.48,Low Risk,24.37,Low,2.72,Low,0.0,Low,1.0104,,1.87
ssp245,2030,11,BIHAR,AURANGABAD,ssp245,2030,10.97,Low Risk,29.28,Moderate,2.05,Low,0.0,Low,0.9936,0.3069482326507682,0.32
ssp245,2030,12,BIHAR,JAMUI,ssp245,2030,8.36,Low Risk,22.72,Low,1.16,Low,0.0,Low,1.0147,0.4589224470986224,3.45
ssp245,2030,13,BIHAR,JEHANABAD,ssp245,2030,8.05,Low Risk,18.96,Low,4.04,Low,0.0,Low,1.022,,3.15
