scenario,year,flood_risk_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp245,2030,1,MAHARASHTRA,RATNAGIRI,ssp245,2030,64.39,High Risk,99.82,Very High,68.54,High,18.22,Low,1.0323,0.3278515418370595,5.15
ssp245,2030,2,MAHARASHTRA,PALGHAR,ssp245,2030,44.77,Moderate Risk,99.27,Very High,28.64,Moderate,0.0,Low,1.0478,0.3009898112879909,6.74
ssp245,2030,3,MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2030,,Low Risk,98.86,Very High,,Low,0.0,Low,1.0363,,4.87
ssp245,2030,4,MAHARASHTRA,SINDHUDURG,ssp245,2030,65.58,High Risk,98.22,Very High,69.04,High,23.45,Low,1.0341,0.310854793919475,5.48
ssp245,2030,5,MAHARASHTRA,RAIGAD,ssp245,2030,55.21,High Risk,97.74,Very High,60.0,High,0.0,Low,1.0321,0.3352134870158458,4.66
ssp245,2030,6,MAHARASHTRA,MUMBAI,ssp245,2030,,Low Risk,96.8,Very High,,Low,0.0,Low,1.0317,,4.29
ssp245,2030,7,MAHARASHTRA,THANE,ssp245,2030,37.14,Moderate Risk,96.43,Very High,9.69,Low,0.0,Low,1.0424,0.3009898112879909,5.82
ssp245,2030,8,MAHARASHTRA,KOLHAPUR,ssp245,2030,29.36,Moderate Risk,63.32,High,20.05,Low,0.59,Low,1.0347,0.2825651446978341,5.28
ssp245,2030,9,BIHAR,KISHANGANJ,ssp245,2030,39.24,Moderate Risk,60.49,High,51.63,High,0.0,Low,1.0251,,5.25
ssp245,2030,10,BIHAR,ARARIA,ssp245,2030,24.65,Low Risk,46.84,Moderate,23.6,Low,0.0,Low,1.0457,0.5181666923893999,7.27
ssp245,2030,11,MAHARASHTRA,SATARA,ssp245,2030,18.07,Low Risk,44.48,Moderate,7.15,Low,0.0,Low,1.0351,0.3314131809605563,5.14
ssp245,2030,12,MAHARASHTRA,NASHIK,ssp245,2030,18.99,Low Risk,44.48,Moderate,9.78,Low,0.0,Low,1.0521,0.262091734011971,6.85
ssp245,2030,13,TELANGANA,KUMURAM BHEEM,ssp245,2030,16.01,Low Risk,43.31,Moderate,2.43,Low,0.0,Low,1.044,0.2445556435320277,6.02
ssp245,2030,14,MAHARASHTRA,BHANDARA,ssp245,2030,15.36,Low Risk,42.96,Moderate,0.94,Low,0.0,Low,1.0442,0.2647395908832557,5.45
ssp245,2030,15,MAHARASHTRA,AMRAVATI,ssp245,2030,15.99,Low Risk,41.8,Moderate,3.88,Low,0.0,Low,1.0539,0.2620101286305321,6.51
ssp245,2030,16,MAHARASHTRA,GONDIA,ssp245,2030,14.47,Low Risk,40.76,Moderate,0.58,Low,0.0,Low,1.0343,0.2917816784647016,4.55
ssp245,2030,17,BIHAR,SUPAUL,ssp245,2030,21.21,Low Risk,40.57,Moderate,20.03,Low,0.0,Low,1.0432,0.3954428944322856,7.03
ssp245,2030,18,MAHARASHTRA,NAGPUR,ssp245,2030,14.36,Low Risk,40.08,Moderate,0.95,Low,0.0,Low,1.0543,0.242697495222103,6.89
ssp245,2030,19,MAHARASHTRA,WARDHA,ssp245,2030,14.9,Low Risk,39.8,Moderate,2.78,Low,0.0,Low,1.0631,0.2233064850171615,7.7
ssp245,2030,20,MAHARASHTRA,GADCHIROLI,ssp245,2030,14.31,Low Risk,39.74,Moderate,1.14,Low,0.0,Low,1.0184,0.3022818942864838,2.93
ssp245,2040,1,MAHARASHTRA,RATNAGIRI,ssp245,2040,83.82,Very High Risk,100.0,Very High,88.09,Very High,59.97,High,1.0414,0.8278515418370596,7.74
ssp245,2040,2,MAHARASHTRA,PALGHAR,ssp245,2040,45.68,Moderate Risk,100.0,Very High,23.19,Low,8.55,Low,1.057,0.800989811287991,9.37
ssp245,2040,3,MAHARASHTRA,SINDHUDURG,ssp245,2040,84.36,Very High Risk,99.42,Very High,87.61,Very High,63.0,High,1.0433,0.810854793919475,8.08
ssp245,2040,4,MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2040,,Low Risk,99.15,Very High,,Low,0.65,Low,1.0451,,7.45
ssp245,2040,5,MAHARASHTRA,RAIGAD,ssp245,2040,62.16,High Risk,98.92,Very High,66.6,High,14.1,Low,1.041,0.8352134870158459,7.24
ssp245,2040,6,MAHARASHTRA,MUMBAI,ssp245,2040,,Low Risk,97.36,Very High,,Low,1.32,Low,1.0405,,6.86
ssp245,2040,7,MAHARASHTRA,THANE,ssp245,2040,38.7,Moderate Risk,97.18,Very High,11.2,Low,2.55,Low,1.0515,0.800989811287991,8.42
ssp245,2040,8,MAHARASHTRA,KOLHAPUR,ssp245,2040,49.86,Moderate Risk,65.47,High,32.86,Moderate,51.47,High,1.0438,0.7825651446978341,7.88
ssp245,2040,9,BIHAR,KISHANGANJ,ssp245,2040,55.79,High Risk,62.47,High,67.58,High,34.25,Moderate,1.0344,,7.84
ssp245,2040,10,BIHAR,ARARIA,ssp245,2040,25.3,Moderate Risk,48.89,Moderate,17.27,Low,7.13,Low,1.0552,1.0181666923894,9.91
ssp245,2040,11,MAHARASHTRA,SATARA,ssp245,2040,27.07,Moderate Risk,46.66,Moderate,15.56,Low,17.63,Low,1.0441,0.8314131809605563,7.73
ssp245,2040,12,TELANGANA,KUMURAM BHEEM,ssp245,2040,18.42,Low Risk,44.31,Moderate,4.36,Low,4.62,Low,1.0531,0.7445556435320277,8.63
ssp245,2040,13,MAHARASHTRA,NASHIK,ssp245,2040,18.99,Low Risk,44.26,Moderate,10.0,Low,0.0,Low,1.0612,0.7620917340119711,9.48
ssp245,2040,14,MAHARASHTRA,BHANDARA,ssp245,2040,15.58,Low Risk,43.72,Moderate,0.79,Low,0.0,Low,1.053,0.7647395908832557,8.05
ssp245,2040,15,BIHAR,SUPAUL,ssp245,2040,18.9,Low Risk,43.23,Moderate,10.76,Low,0.0,Low,1.0526,0.8954428944322856,9.67
ssp245,2040,16,MAHARASHTRA,AMRAVATI,ssp245,2040,16.28,Low Risk,42.54,Moderate,3.98,Low,0.0,Low,1.0629,0.7620101286305321,9.13
ssp245,2040,17,MAHARASHTRA,GONDIA,ssp245,2040,14.8,Low Risk,41.96,Moderate,0.33,Low,0.0,Low,1.0431,0.7917816784647016,7.13
ssp245,2040,18,MAHARASHTRA,NAGPUR,ssp245,2040,14.62,Low Risk,40.95,Moderate,0.82,Low,0.0,Low,1.0634,0.742697495222103,9.53
ssp245,2040,19,MAHARASHTRA,WARDHA,ssp245,2040,15.17,Low Risk,40.62,Moderate,2.73,Low,0.0,Low,1.0723,0.7233064850171615,10.35
ssp245,2040,20,BIHAR,PASHCHIM CHAMPARAN,ssp245,2040,15.08,Low Risk,39.95,Moderate,3.14,Low,0.0,Low,1.0297,0.8746807422902982,5.83
ssp585,2030,1,MAHARASHTRA,RATNAGIRI,ssp585,2030,81.23,Very High Risk,99.82,Very High,85.53,Very High,54.51,High,1.0323,0.6278515418370596,5.15
ssp585,2030,2,MAHARASHTRA,PALGHAR,ssp585,2030,53.55,High Risk,99.27,Very High,38.11,Moderate,18.22,Low,1.0478,0.600989811287991,6.74
ssp585,2030,3,MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2030,,Low Risk,98.86,Very High,,Low,15.19,Low,1.0363,,4.87
ssp585,2030,4,MAHARASHTRA,SINDHUDURG,ssp585,2030,81.37,Very High Risk,98.22,Very High,84.99,Very High,57.48,High,1.0341,0.6108547939194751,5.48
ssp585,2030,5,MAHARASHTRA,RAIGAD,ssp585,2030,66.49,High Risk,97.74,Very High,71.39,High,24.31,Low,1.0321,0.6352134870158459,4.66
ssp585,2030,6,MAHARASHTRA,MUMBAI,ssp585,2030,,Low Risk,96.8,Very High,,Low,12.43,Low,1.0317,,4.29
ssp585,2030,7,MAHARASHTRA,THANE,ssp585,2030,45.98,Moderate Risk,96.43,Very High,18.61,Low,19.04,Low,1.0424,0.600989811287991,5.82
ssp585,2030,8,MAHARASHTRA,KOLHAPUR,ssp585,2030,49.9,Moderate Risk,63.32,High,41.27,Moderate,44.3,Moderate,1.0347,0.5825651446978342,5.28
ssp585,2030,9,BIHAR,KISHANGANJ,ssp585,2030,55.65,High Risk,60.49,High,68.19,High,35.36,Moderate,1.0251,,5.25
ssp585,2030,10,BIHAR,ARARIA,ssp585,2030,25.04,Moderate Risk,46.84,Moderate,24.71,Low,0.0,Low,1.0457,0.8181666923894,7.27
ssp585,2030,11,MAHARASHTRA,SATARA,ssp585,2030,27.17,Moderate Risk,44.48,Moderate,16.34,Low,19.6,Low,1.0351,0.6314131809605563,5.14
