scenario,year,overall_risk_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp245,2030,1,MAHARASHTRA,SINDHUDURG,ssp245,2030,65.58,High Risk,98.22,Very High,69.04,High,23.45,Low,1.0341,0.310854793919475,5.48
ssp245,2030,2,MAHARASHTRA,RATNAGIRI,ssp245,2030,64.39,High Risk,99.82,Very High,68.54,High,18.22,Low,1.0323,0.3278515418370595,5.15
ssp245,2030,3,MAHARASHTRA,RAIGAD,ssp245,2030,55.21,High Risk,97.74,Very High,60.0,High,0.0,Low,1.0321,0.3352134870158458,4.66
ssp245,2030,4,MAHARASHTRA,PALGHAR,ssp245,2030,44.77,Moderate Risk,99.27,Very High,28.64,Moderate,0.0,Low,1.0478,0.3009898112879909,6.74
ssp245,2030,5,BIHAR,KISHANGANJ,ssp245,2030,39.24,Moderate Risk,60.49,High,51.63,High,0.0,Low,1.0251,,5.25
ssp245,2030,6,MAHARASHTRA,THANE,ssp245,2030,37.14,Moderate Risk,96.43,Very High,9.69,Low,0.0,Low,1.0424,0.3009898112879909,5.82
ssp245,2030,7,MAHARASHTRA,KOLHAPUR,ssp245,2030,29.36,Moderate Risk,63.32,High,20.05,Low,0.59,Low,1.0347,0.2825651446978341,5.28
ssp245,2030,8,BIHAR,SIWAN,ssp245,2030,25.89,Moderate Risk,19.44,Low,54.52,High,0.0,Low,1.0098,,1.39
ssp245,2030,9,BIHAR,GOPALGANJ,ssp245,2030,25.84,Moderate Risk,21.77,Low,52.07,High,0.0,Low,1.011,0.332389730215084,1.6
ssp245,2030,10,BIHAR,SARAN,ssp245,2030,24.7,Low Risk,16.45,Low,54.13,High,0.0,Low,1.0231,,2.63
ssp245,2030,11,BIHAR,ARARIA,ssp245,2030,24.65,Low Risk,46.84,Moderate,23.6,Low,0.0,Low,1.0457,0.5181666923893999,7.27
ssp245,2030,12,BIHAR,PURBA CHAMPARAN,ssp245,2030,23.46,Low Risk,25.09,Moderate,41.93,Moderate,0.0,Low,1.0183,0.332389730215084,3.07
ssp245,2030,13,BIHAR,SUPAUL,ssp245,2030,21.21,Low Risk,40.57,Moderate,20.03,Low,0.0,Low,1.0432,0.3954428944322856,7.03
