scenario,year,risk_type,rank,state,district,score,risk_class
ssp245,2040,Overall Risk,1,MAHARASHTRA,RATNAGIRI,59.27,High Risk
ssp245,2040,Overall Risk,2,MAHARASHTRA,SINDHUDURG,57.55,High Risk
ssp245,2040,Overall Risk,3,BIHAR,ARARIA,44.97,Moderate Risk
ssp245,2040,Overall Risk,4,BIHAR,MADHUBANI,39.31,Moderate Risk
ssp245,2040,Overall Risk,5,MAHARASHTRA,PALGHAR,38.5,Moderate Risk
ssp245,2040,Overall Risk,6,MAHARASHTRA,MUMBAI SUBURBAN,38.2,Moderate Risk
ssp245,2040,Overall Risk,7,MAHARASHTRA,RAIGAD,38.12,Moderate Risk
ssp245,2040,Overall Risk,8,MAHARASHTRA,MUMBAI,37.58,Moderate Risk
ssp245,2040,Overall Risk,9,MAHARASHTRA,THANE,37.51,Moderate Risk
ssp245,2040,Overall Risk,10,BIHAR,KISHANGANJ,34.53,Moderate Risk
ssp245,2040,Overall Risk,11,BIHAR,JAMUI,30.9,Moderate Risk
ssp245,2040,Overall Risk,12,BIHAR,SAHARSA,30.22,Moderate Risk
ssp245,2040,Overall Risk,13,BIHAR,BANKA,29.2,Moderate Risk
ssp245,2040,Overall Risk,14,BIHAR,DARBHANGA,28.22,Moderate Risk
ssp245,2040,Overall Risk,15,BIHAR,MADHEPURA,26.48,Moderate Risk
ssp245,2040,Overall Risk,16,MAHARASHTRA,KOLHAPUR,24.95,Low Risk
ssp245,2040,Overall Risk,17,MAHARASHTRA,NASHIK,18.99,Low Risk
ssp245,2040,Overall Risk,18,MAHARASHTRA,SATARA,18.89,Low Risk
ssp245,2040,Overall Risk,19,BIHAR,SUPAUL,16.81,Low Risk
ssp245,2040,Overall Risk,20,MAHARASHTRA,PUNE,16.5,Low Risk
ssp245,2040,Flood Risk,1,MAHARASHTRA,RATNAGIRI,100.0,Very High
ssp245,2040,Flood Risk,2,MAHARASHTRA,PALGHAR,100.0,Very High
ssp245,2040,Flood Risk,3,MAHARASHTRA,SINDHUDURG,99.42,Very High
ssp245,2040,Flood Risk,4,MAHARASHTRA,MUMBAI SUBURBAN,99.15,Very High
ssp245,2040,Flood Risk,5,MAHARASHTRA,RAIGAD,98.92,Very High
ssp245,2040,Flood Risk,6,MAHARASHTRA,MUMBAI,97.36,Very High
ssp245,2040,Flood Risk,7,MAHARASHTRA,THANE,97.18,Very High
ssp245,2040,Flood Risk,8,MAHARASHTRA,KOLHAPUR,65.47,High
ssp245,2040,Flood Risk,9,BIHAR,KISHANGANJ,62.47,High
ssp245,2040,Flood Risk,10,BIHAR,ARARIA,48.89,Moderate
ssp245,2040,Flood Risk,11,MAHARASHTRA,SATARA,46.66,Moderate
ssp245,2040,Flood Risk,12,TELANGANA,KUMURAM BHEEM,44.31,Moderate
ssp245,2040,Flood Risk,13,MAHARASHTRA,NASHIK,44.26,Moderate
ssp245,2040,Flood Risk,14,MAHARASHTRA,BHANDARA,43.72,Moderate
ssp245,2040,Flood Risk,15,BIHAR,SUPAUL,43.23,Moderate
ssp245,2040,Flood Risk,16,MAHARASHTRA,AMRAVATI,42.54,Moderate
ssp245,2040,Flood Risk,17,MAHARASHTRA,GONDIA,41.96,Moderate
ssp245,2040,Flood Risk,18,MAHARASHTRA,NAGPUR,40.95,Moderate
ssp245,2040,Flood Risk,19,MAHARASHTRA,WARDHA,40.62,Moderate
ssp245,2040,Flood Risk,20,BIHAR,PASHCHIM CHAMPARAN,39.95,Moderate
ssp245,2040,Drought Risk,1,MAHARASHTRA,RATNAGIRI,28.88,Moderate
ssp245,2040,Drought Risk,2,BIHAR,MADHUBANI,27.77,Moderate
