state,district,scenario,overall_risk_change,flood_risk_change,drought_risk_change,ag_stress_change,water_availability_change,temperature_change_change,rainfall_change_change
BIHAR,ARARIA,ssp245,0.65,2.05,-6.33,7.13,0.009,0.5,2.64
BIHAR,ARARIA,ssp585,38.23,2.05,30.46,89.48,0.009,0.9,2.64
BIHAR,ARWAL,ssp245,0.08,0.44,-0.22,0.0,0.008,,2.51
BIHAR,ARWAL,ssp585,36.91,0.44,36.96,79.38,0.008,,2.51
BIHAR,AURANGABAD,ssp245,0.24,0.9,-0.21,0.0,0.008,0.5,2.47
BIHAR,AURANGABAD,ssp585,32.73,0.9,32.59,70.02,0.008,0.9,2.47
BIHAR,BANKA,ssp245,17.87,1.05,17.9,37.46,0.009,,2.54
BIHAR,BANKA,ssp585,27.7,1.05,23.4,63.82,0.009,,2.54
BIHAR,BEGUSARAI,ssp245,-3.17,0.31,-9.37,0.0,0.009,0.5,2.61
BIHAR,BEGUSARAI,ssp585,22.3,0.31,16.09,55.23,0.009,0.9,2.61
BIHAR,BHAGALPUR,ssp245,-2.6,0.64,-8.05,0.0,0.009,0.5,2.56
BIHAR,BHAGALPUR,ssp585,27.19,0.64,22.17,64.01,0.009,0.9,2.56
BIHAR,BHOJPUR,ssp245,-2.49,0.34,-7.46,0.0,0.008,0.5,2.5
BIHAR,BHOJPUR,ssp585,27.78,0.34,23.17,65.16,0.008,0.9,2.5
BIHAR,BUXAR,ssp245,-2.13,0.95,-7.05,0.0,0.008,,2.47
BIHAR,BUXAR,ssp585,30.9,0.95,26.7,70.75,0.008,,2.47
BIHAR,DARBHANGA,ssp245,15.64,0.97,15.59,32.79,0.009,,2.61
BIHAR,DARBHANGA,ssp585,39.22,0.97,38.93,84.19,0.009,,2.61
BIHAR,GAYA,ssp245,0.08,0.45,-0.21,0.0,0.009,0.5,2.5
BIHAR,GAYA,ssp585,38.21,0.45,38.28,82.18,0.009,0.9,2.5
BIHAR,GOPALGANJ,ssp245,-2.49,1.79,-8.92,0.0,0.008,0.5,2.5
BIHAR,GOPALGANJ,ssp585,29.75,1.79,24.72,68.24,0.008,0.9,2.5
BIHAR,JAMUI,ssp245,17.17,1.03,16.9,36.32,0.009,0.5,2.55
BIHAR,JAMUI,ssp585,28.55,1.03,25.36,64.38,0.009,0.9,2.55
BIHAR,JEHANABAD,ssp245,-0.64,0.54,-2.37,0.0,0.009,,2.54
BIHAR,JEHANABAD,ssp585,27.74,0.54,26.22,61.25,0.009,,2.54
BIHAR,KAIMUR (BHABUA),ssp245,0.12,0.55,-0.19,0.0,0.008,,2.45
BIHAR,KAIMUR (BHABUA),ssp585,34.47,0.55,34.49,74.03,0.008,,2.45
BIHAR,KATIHAR,ssp245,0.2,1.51,-0.94,0.0,0.009,0.5,2.54
BIHAR,KATIHAR,ssp585,41.03,1.51,39.02,89.5,0.009,0.9,2.54
BIHAR,KHAGARIA,ssp245,-0.23,0.74,-1.4,0.0,0.009,0.5,2.6
BIHAR,KHAGARIA,ssp585,37.33,0.74,36.48,81.0,0.009,0.9,2.6
BIHAR,KISHANGANJ,ssp245,16.55,1.98,15.95,34.25,0.009,,2.59
BIHAR,KISHANGANJ,ssp585,28.25,1.98,23.35,64.64,0.009,,2.59
BIHAR,LAKHISARAI,ssp245,0.28,0.92,-0.12,0.0,0.009,,2.61
BIHAR,LAKHISARAI,ssp585,25.35,0.92,25.19,54.04,0.009,,2.61
BIHAR,MADHEPURA,ssp245,12.02,0.48,6.73,31.63,0.009,,2.58
BIHAR,MADHEPURA,ssp585,23.39,0.48,18.5,55.83,0.009,,2.58
BIHAR,MADHUBANI,ssp245,15.75,1.9,15.39,32.33,0.009,0.5,2.63
BIHAR,MADHUBANI,ssp585,21.56,1.9,19.89,46.45,0.009,0.9,2.63
BIHAR,MUNGER,ssp245,0.37,1.11,-0.07,0.0,0.009,,2.59
BIHAR,MUNGER,ssp585,35.64,1.11,35.54,76.03,0.009,,2.59
BIHAR,MUZAFFARPUR,ssp245,-2.42,1.19,-8.1,0.0,0.009,,2.58
BIHAR,MUZAFFARPUR,ssp585,24.42,1.19,19.41,57.37,0.009,,2.58
BIHAR,NALANDA,ssp245,-1.33,0.64,-4.44,0.0,0.009,,2.59
BIHAR,NALANDA,ssp585,32.98,0.64,30.06,74.12,0.009,,2.59
