state,scenario,year,avg_overall_risk,avg_flood_risk,avg_drought_risk,avg_ag_stress,avg_water_availability,avg_temperature_change,avg_rainfall_change,district_count
BIHAR,ssp245,2030,14.459,25.386,15.927,0.0,1.024,0.412,3.909,38
BIHAR,ssp245,2035,14.512,25.903,14.423,1.327,1.029,0.662,5.189,38
BIHAR,ssp245,2040,16.544,26.409,15.163,6.644,1.033,0.912,6.468,38
BIHAR,ssp585,2030,17.856,25.386,19.652,6.976,1.024,0.712,3.909,38
BIHAR,ssp585,2035,33.804,25.903,34.337,42.399,1.029,1.162,5.189,38
BIHAR,ssp585,2040,47.869,26.409,46.738,74.226,1.033,1.612,6.468,38
MAHARASHTRA,ssp245,2030,18.144,42.686,11.333,1.174,1.043,0.264,5.426,36
MAHARASHTRA,ssp245,2035,19.568,42.982,12.407,4.139,1.047,0.514,6.724,36
MAHARASHTRA,ssp245,2040,22.671,43.258,15.186,10.596,1.052,0.764,8.022,36
MAHARASHTRA,ssp585,2030,23.073,42.686,16.341,11.939,1.043,0.564,5.426,36
MAHARASHTRA,ssp585,2035,33.978,42.982,26.991,34.906,1.047,1.014,6.723,36
MAHARASHTRA,ssp585,2040,49.552,43.258,41.359,69.784,1.052,1.464,8.022,36
TELANGANA,ssp245,2030,6.372,16.319,1.611,0.266,1.064,0.225,6.38,33
TELANGANA,ssp245,2035,7.02,16.815,2.021,1.345,1.068,0.475,7.69,33
TELANGANA,ssp245,2040,8.847,17.321,3.633,4.892,1.072,0.725,9.0,33
TELANGANA,ssp585,2030,8.68,16.319,3.941,5.216,1.064,0.525,6.38,33
TELANGANA,ssp585,2035,16.739,16.815,11.83,22.259,1.068,0.975,7.69,33
TELANGANA,ssp585,2040,30.09,17.321,23.888,53.083,1.072,1.425,9.0,33
