district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
ARARIA,ssp245,24.65,23.32,25.3,46.84,47.87,48.89,23.6,18.77,17.27,0.0,0.0,7.13,0.5181666923893999,0.7681666923893999,1.0181666923894,7.27,8.59,9.91
ARARIA,ssp585,25.04,45.16,63.27,46.84,47.87,48.89,24.71,41.7,55.17,0.0,46.02,89.48,0.8181666923894,1.2681666923894,1.7181666923894,7.27,8.59,9.91
ARWAL,ssp245,9.48,9.52,9.56,24.37,24.59,24.81,2.72,2.61,2.5,0.0,0.0,0.0,,,,1.87,3.125,4.38
ARWAL,ssp585,9.48,32.12,46.39,24.37,24.59,24.81,2.72,25.43,39.68,0.0,48.72,79.38,,,,1.87,3.13,4.38
AURANGABAD,ssp245,10.97,11.09,11.21,29.28,29.73,30.18,2.05,1.95,1.84,0.0,0.0,0.0,0.3069482326507682,0.5569482326507682,0.8069482326507682,0.32,1.555,2.79
AURANGABAD,ssp585,17.56,34.08,50.29,29.28,29.73,30.18,8.71,25.16,41.3,14.22,49.57,84.24,0.6069482326507682,1.0569482326507682,1.5069482326507682,0.32,1.55,2.79
BANKA,ssp245,9.72,9.97,27.59,24.42,24.94,25.47,3.36,3.54,21.26,0.0,0.0,37.46,,,,3.0,4.27,5.54
BANKA,ssp585,26.51,37.67,54.21,24.42,24.94,25.47,20.31,31.51,43.71,36.18,59.71,100.0,,,,3.0,4.27,5.54
BEGUSARAI,ssp245,11.35,9.76,8.18,19.91,20.06,20.22,12.51,7.82,3.14,0.0,0.0,0.0,0.4667446527216263,0.7167446527216264,0.9667446527216264,5.86,7.165000000000001,8.47
BEGUSARAI,ssp585,11.53,9.92,33.83,19.91,20.06,20.22,13.02,8.28,29.11,0.0,0.0,55.23,0.7667446527216264,1.2167446527216264,1.6667446527216263,5.86,7.16,8.47
BHAGALPUR,ssp245,17.32,16.02,14.72,27.23,27.55,27.87,22.25,18.22,14.2,0.0,0.0,0.0,0.5568997244040297,0.8068997244040297,1.0568997244040297,4.1,5.38,6.66
BHAGALPUR,ssp585,17.68,35.73,44.87,27.23,27.55,27.87,23.28,38.99,45.45,0.0,41.48,64.01,0.8568997244040297,1.3068997244040297,1.7568997244040296,4.1,5.38,6.66
BHOJPUR,ssp245,12.44,11.2,9.95,13.86,14.03,14.2,21.69,17.96,14.23,0.0,0.0,0.0,0.2960068563620375,0.5460068563620375,0.7960068563620375,1.57,2.8200000000000003,4.07
BHOJPUR,ssp585,14.33,33.4,42.11,13.86,14.03,14.2,24.14,41.06,47.31,3.43,47.07,68.59,0.5960068563620375,1.0460068563620375,1.4960068563620377,1.57,2.82,4.07
BUXAR,ssp245,15.56,14.5,13.43,14.76,15.24,15.71,29.7,26.18,22.65,0.0,0.0,0.0,,,,0.35,1.585,2.82
BUXAR,ssp585,20.42,44.38,51.32,14.76,15.24,15.71,35.44,57.51,62.14,9.49,63.05,80.24,,,,0.35,1.58,2.82
DARBHANGA,ssp245,10.77,10.98,26.41,26.29,26.77,27.26,4.49,4.6,20.08,0.0,0.0,32.79,,,,6.08,7.385,8.69
DARBHANGA,ssp585,12.06,35.72,51.28,26.29,26.77,27.26,5.79,29.58,44.72,2.77,53.32,86.96,,,,6.08,7.39,8.69
GAYA,ssp245,7.62,7.65,7.7,20.27,20.49,20.72,1.49,1.38,1.28,0.0,0.0,0.0,0.3069482326507682,0.5569482326507682,0.8069482326507682,1.89,3.14,4.39
GAYA,ssp585,7.62,36.79,45.83,20.27,20.49,20.72,1.49,30.8,39.77,0.0,62.8,82.18,0.6069482326507682,1.0569482326507682,1.5069482326507682,1.89,3.14,4.39
GOPALGANJ,ssp245,25.84,24.6,23.35,21.77,22.67,23.56,52.07,47.61,43.15,0.0,0.0,0.0,0.332389730215084,0.582389730215084,0.832389730215084,1.6,2.85,4.1
GOPALGANJ,ssp585,28.86,52.67,58.61,21.77,22.67,23.56,56.55,78.19,81.27,4.81,57.89,73.05,0.632389730215084,1.082389730215084,1.532389730215084,1.6,2.85,4.1
JAMUI,ssp245,8.36,8.52,25.53,22.72,23.24,23.75,1.16,1.11,18.06,0.0,0.0,36.32,0.4589224470986224,0.7089224470986224,0.9589224470986224,3.45,4.725,6.0
JAMUI,ssp585,22.75,34.41,51.3,22.72,23.24,23.75,15.69,27.24,41.05,31.03,55.79,95.41,0.7589224470986224,1.2089224470986224,1.6589224470986224,3.45,4.73,6.0
JEHANABAD,ssp245,8.05,7.37,7.41,18.96,19.23,19.5,4.04,1.82,1.67,0.0,0.0,0.0,,,,3.15,4.42,5.69
JEHANABAD,ssp585,9.2,31.29,36.94,18.96,19.23,19.5,5.26,25.97,31.48,2.4,51.56,63.65,,,,3.15,4.42,5.69
KAIMUR (BHABUA),ssp245,9.93,9.99,10.05,25.77,26.05,26.32,2.59,2.5,2.4,0.0,0.0,0.0,,,,-0.59,0.635,1.86
KAIMUR (BHABUA),ssp585,9.93,30.76,44.4,25.77,26.05,26.32,2.59,23.47,37.08,0.0,44.77,74.03,,,,-0.59,0.64,1.86
KATIHAR,ssp245,10.46,10.43,10.66,27.88,28.63,29.39,2.01,1.16,1.07,0.0,0.0,0.0,0.5568997244040297,0.8068997244040297,1.0568997244040297,3.04,4.3100000000000005,5.58
KATIHAR,ssp585,10.48,32.9,51.51,27.88,28.63,29.39,2.05,23.85,41.07,0.0,48.45,89.5,0.8568997244040297,1.3068997244040297,1.7568997244040296,3.04,4.31,5.58
KHAGARIA,ssp245,11.0,10.66,10.77,28.01,28.38,28.75,3.43,2.08,2.03,0.0,0.0,0.0,0.4667446527216263,0.7167446527216264,0.9667446527216264,5.53,6.83,8.13
KHAGARIA,ssp585,11.02,35.0,48.35,28.01,28.38,28.75,3.49,26.65,39.97,0.0,52.45,81.0,0.7667446527216264,1.2167446527216264,1.6667446527216263,5.53,6.83,8.13
KISHANGANJ,ssp245,39.24,54.75,55.79,60.49,61.68,62.47,51.63,66.84,67.58,0.0,32.56,34.25,,,,5.25,6.545,7.84
KISHANGANJ,ssp585,55.65,68.31,83.9,60.49,61.68,62.47,68.19,80.53,91.54,35.36,61.8,100.0,,,,5.25,6.55,7.84
LAKHISARAI,ssp245,8.61,8.75,8.89,23.19,23.65,24.11,1.4,1.34,1.28,0.0,0.0,0.0,,,,5.59,6.895,8.2
