state,district,annual_rainfall,mean_temperature,mean_humidity,mean_soil_moisture,year,rainfall_anomaly,spi3,spi6,rx1day,rain_p95,rain_p99,cdd,cwd,rx3day,base_mean_pet_x,base_mean_et_x,base_mean_solar_x,base_mean_lai_x,temperature_anomaly,humidity_anomaly,soil_moisture_anomaly,heat_stress_days_35,heat_stress_days_38,heat_stress_days_40,water_availability_index,soil_moisture_deficit,annual_rainfall_change_pct,state_code,district_code,mean_solar,mean_pet,mean_et,mean_lai,base_mean_pet_y,base_mean_et_y,base_mean_solar_y,base_mean_lai_y,pet_anomaly,et_anomaly,solar_anomaly,lai_anomaly,predicted_sm_anomaly,predicted_ndvi_anomaly,predicted_ndwi_anomaly,soil_moisture_stress_class,water_security_index,scenario
BIHAR,ARARIA,1743.6414244209823,23.24172805680171,56.778850178435086,0.20901876663200045,2030,118.19679942098222,-0.2794627137258988,-0.25151644235330894,71.7001006806291,23.981835019269965,49.215389562361764,63.13064481574015,31.931729026373088,118.30516612303802,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,0.8181666923894,2.0453374571918133,-0.008796125568890058,7.9,0.5,0.0,1.0457,0.0,7.27,0,4,17.4677,3.9589,15.05662752567737,1.1570071277574328,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,-43.09965104639397,1.138054202700614,0.8597788822853119,0.020756391245440042,0.0007708797,0.0020566913833872957,-0.0029636896,Low,52.28,ssp585
BIHAR,ARWAL,1008.1873701850495,,,0.16214514247360404,2030,18.540057685049504,0.05762125390439964,0.05185912851395968,62.40323299937636,17.013939645294908,33.416610218968046,67.51468502289623,23.898589074799148,102.96533444897098,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,,,-0.006548547704936648,33.3,3.6,0.5,1.0104,0.0,1.87,0,5,17.6143,4.1631,12.37921516720254,1.0248217718325099,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,-45.52343234068274,1.713065855633749,-1.0337792169629623,0.16288537382002022,0.000775974,0.0038046063087446413,-0.020516178,Low,50.52,ssp585
BIHAR,AURANGABAD,1112.405195572759,25.94619611501695,50.127277638114144,0.16510469972638797,2030,3.504133072759078,0.40022497220204745,0.3602024749818427,58.36543242680663,17.739608434298923,36.017632043170906,65.02455720124132,30.01157588512413,96.30296350423093,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,0.6069482326507682,1.0639197059627463,-0.010029501967756201,48.1,6.2,1.0,0.9936,0.0018494325,0.32,0,6,17.6642,4.2672,12.068166377024102,0.9700472113302839,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,-47.00682764493268,1.9539079314285779,-1.0437084620153385,0.17594793401616593,-0.0018494325,0.0017948738726441336,-0.02041791,Low,48.56,ssp585
BIHAR,BANKA,1300.0197250671845,,,0.18050880020166402,2030,37.89085006718458,0.2906863786393872,0.26161774077544847,70.89643259721919,20.461319843071532,41.72274917781401,69.91908839453859,14.100075138061964,116.97911378541166,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,,,-0.012340488748182245,33.3,3.6,0.5,1.0096,0.0047054472,3.0,0,7,17.6604,4.174,12.103863384769493,1.108129017469607,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,-43.333531801877065,1.580573576430675,0.019432772860106695,0.38136895893475664,-0.0047054472,0.0024790866789999996,-0.02272944,Low,47.87,ssp585
BIHAR,BEGUSARAI,1138.971640791303,26.55645162794326,54.47557977322518,0.16710315616435276,2030,63.03795329130277,-0.13025690012848998,-0.11723121011564097,61.51797602173541,17.400216554248995,36.51365103311588,65.66135643721995,18.655202246510818,101.50466043586341,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,0.7667446527216264,1.9303127989463675,-0.0036019203145785618,65.8,10.1,1.8,1.0435,0.0,5.86,0,9,17.5701,4.3037,14.206760167337498,1.120624918939722,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,-41.81885224623095,4.262859904673817,-0.2894619457179921,0.3377186028395407,0.0009410285,0.005625586119844423,-0.014806761,Low,52.18,ssp585
BIHAR,BHAGALPUR,1351.2046663006022,26.64083750645321,55.947956249133064,0.1818064976136662,2030,53.194666300602115,-0.2611454252104373,-0.2350308826893936,66.34423615355874,19.93484443309165,38.88213909947817,63.456275070293415,20.843210692047357,109.46798965337192,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,0.8568997244040297,1.900405911334758,-0.005398153491715986,68.5,10.8,1.9,1.028,0.0,4.1,0,11,17.6003,4.3193,14.767287799424478,1.1950696494587723,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,-40.44300788463144,4.249915395678851,0.3616252195770322,0.4682042492281421,0.0020659952,0.006292401122937721,-0.016081808,Low,51.4,ssp585
BIHAR,BHOJPUR,942.142458551066,26.02476558685304,50.31393750517194,0.1551365735929279,2030,14.58558355106593,-0.2130150839855397,-0.19171357558698573,56.475380212144366,14.61117212239521,35.71013391482019,75.56932034360834,17.61418585727221,93.1843773500382,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,0.5960068563620375,1.02434899237646,-0.004993882170117282,50.2,6.7,1.1,1.011,0.00044655876,1.57,0,13,17.5785,4.2542,10.289584544831357,0.8706801443753273,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,-45.62033019654776,0.1765415627549487,-0.9852692785998443,0.04277823447731677,-0.00044655876,0.004202999781161822,-0.011307682,Low,50.26,ssp585
BIHAR,BUXAR,926.334023258223,,,0.16075481697691216,2030,3.214710758222992,-0.3300665258479377,-0.2970598732631439,51.87110357147795,14.58441773211085,32.79693879763758,70.97649170297416,22.092499479389375,85.58732089293862,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,,,-0.00689625309298877,33.3,3.6,0.5,0.999,0.0012341574,0.35,0,15,17.5711,4.1529,11.012263491835443,0.9819739821345611,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,-46.35310396534892,0.501149326966484,-1.0185693890906222,0.08152824188030816,-0.0012341574,0.004779683828535961,-0.012128792,Low,49.18,ssp585
BIHAR,DARBHANGA,1195.6998612669074,,,0.16960145963122752,2030,68.53273626690721,0.18739686662691368,0.1686571799642223,71.52386256243423,17.414635620285082,38.899458897251634,74.13148214192881,18.66522801327391,118.01437322801648,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,,,-0.010314786851194743,33.3,3.6,0.5,1.0337,0.00036010795,6.08,0,18,17.4927,4.1344,13.040911639685433,1.1157022497346532,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,-44.66865528437219,2.5438877404224858,-0.11354590790705288,0.2458695858719101,-0.00036010795,0.003610680345626563,-0.022163015,Low,51.47,ssp585
BIHAR,GAYA,1133.9690596654807,25.94619611501695,50.127277638114144,0.1617042942923923,2030,20.982184665480748,0.3110950558758904,0.27998555028830135,57.617577626233995,18.386550770277246,35.42120465217379,62.91035508296582,20.90461994669357,95.06900308328609,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,0.6069482326507682,1.0639197059627463,-0.007406251463633852,48.1,6.2,1.0,1.0089,0.0,1.89,0,22,17.6821,4.2716,11.6851930967593,1.0437190245001846,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,-46.45999649932754,1.5526566128511394,-0.9716132235510564,0.2379917690227321,0.00012039114,0.0020587568775647966,-0.020313608,Low,50.44,ssp585
