state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
MAHARASHTRA,SINDHUDURG,ssp245,2030,1,65.58,High Risk,98.22,69.04,23.45
MAHARASHTRA,RATNAGIRI,ssp245,2030,2,64.39,High Risk,99.82,68.54,18.22
MAHARASHTRA,RAIGAD,ssp245,2030,3,55.21,High Risk,97.74,60.0,0.0
MAHARASHTRA,PALGHAR,ssp245,2030,4,44.77,Moderate Risk,99.27,28.64,0.0
BIHAR,KISHANGANJ,ssp245,2030,5,39.24,Moderate Risk,60.49,51.63,0.0
MAHARASHTRA,THANE,ssp245,2030,6,37.14,Moderate Risk,96.43,9.69,0.0
MAHARASHTRA,KOLHAPUR,ssp245,2030,7,29.36,Moderate Risk,63.32,20.05,0.59
BIHAR,SIWAN,ssp245,2030,8,25.89,Moderate Risk,19.44,54.52,0.0
BIHAR,GOPALGANJ,ssp245,2030,9,25.84,Moderate Risk,21.77,52.07,0.0
BIHAR,SARAN,ssp245,2030,10,24.7,Low Risk,16.45,54.13,0.0
BIHAR,ARARIA,ssp245,2030,11,24.65,Low Risk,46.84,23.6,0.0
BIHAR,PURBA CHAMPARAN,ssp245,2030,12,23.46,Low Risk,25.09,41.93,0.0
BIHAR,SUPAUL,ssp245,2030,13,21.21,Low Risk,40.57,20.03,0.0
BIHAR,VAISHALI,ssp245,2030,14,19.26,Low Risk,12.7,42.32,0.0
BIHAR,MUZAFFARPUR,ssp245,2030,15,19.09,Low Risk,22.39,32.16,0.0
MAHARASHTRA,NASHIK,ssp245,2030,16,18.99,Low Risk,44.48,9.78,0.0
BIHAR,MADHEPURA,ssp245,2030,17,18.13,Low Risk,25.12,26.69,0.0
MAHARASHTRA,SATARA,ssp245,2030,18,18.07,Low Risk,44.48,7.15,0.0
BIHAR,SAHARSA,ssp245,2030,19,17.84,Low Risk,27.91,23.06,0.0
BIHAR,BHAGALPUR,ssp245,2030,20,17.32,Low Risk,27.23,22.25,0.0
